event_name,decision,subject,condition,res_timestamp,n_star,n_game,filename
outer_band_4,0,01TG,im,419249143,5,2,im_log_game_2
inner_band_1,0,01TG,im,419256012,16,2,im_log_game_2
inner_band_2,0,01TG,im,419256964,16,2,im_log_game_2
inner_band_3,1,01TG,im,419258005,16,2,im_log_game_2
inner_band_4,1,01TG,im,419258953,16,2,im_log_game_2
inner_band_5,0,01TG,im,419259983,16,2,im_log_game_2
inner_band_6,0,01TG,im,419260953,16,2,im_log_game_2
inner_band_7,0,01TG,im,419261983,16,2,im_log_game_2
inner_band_8,1,01TG,im,419263032,16,2,im_log_game_2
outer_band_1,1,01TG,im,419263969,16,2,im_log_game_2
outer_band_2,1,01TG,im,419263969,16,2,im_log_game_2
outer_band_3,1,01TG,im,419263969,16,2,im_log_game_2
outer_band_4,0,01TG,im,419263969,16,2,im_log_game_2
inner_band_1,1,01TG,im,419271862,18,2,im_log_game_2
inner_band_2,1,01TG,im,419272896,18,2,im_log_game_2
inner_band_3,1,01TG,im,419273863,18,2,im_log_game_2
inner_band_4,1,01TG,im,419274893,18,2,im_log_game_2
inner_band_5,1,01TG,im,419275850,18,2,im_log_game_2
inner_band_6,1,01TG,im,419276882,18,2,im_log_game_2
inner_band_7,1,01TG,im,419277904,18,2,im_log_game_2
outer_band_1,0,01TG,im,419278863,18,2,im_log_game_2
outer_band_2,0,01TG,im,419278863,18,2,im_log_game_2
outer_band_3,0,01TG,im,419278863,18,2,im_log_game_2
outer_band_4,0,01TG,im,419278863,18,2,im_log_game_2
inner_band_1,1,01TG,im,419297896,1,2,im_log_game_2
inner_band_2,1,01TG,im,419298835,1,2,im_log_game_2
inner_band_3,1,01TG,im,419299863,1,2,im_log_game_2
inner_band_4,1,01TG,im,419300840,1,2,im_log_game_2
inner_band_5,1,01TG,im,419301856,1,2,im_log_game_2
inner_band_6,1,01TG,im,419302827,1,2,im_log_game_2
inner_band_7,1,01TG,im,419303895,1,2,im_log_game_2
inner_band_8,1,01TG,im,419304851,1,2,im_log_game_2
outer_band_1,1,01TG,im,419305884,1,2,im_log_game_2
outer_band_2,1,01TG,im,419305884,1,2,im_log_game_2
outer_band_3,0,01TG,im,419305884,1,2,im_log_game_2
outer_band_4,0,01TG,im,419305884,1,2,im_log_game_2
inner_band_1,0,01TG,im,419312184,6,2,im_log_game_2
inner_band_2,1,01TG,im,419313223,6,2,im_log_game_2
inner_band_3,1,01TG,im,419314166,6,2,im_log_game_2
inner_band_4,1,01TG,im,419315210,6,2,im_log_game_2
inner_band_5,1,01TG,im,419316231,6,2,im_log_game_2
inner_band_6,1,01TG,im,419317186,6,2,im_log_game_2
inner_band_7,1,01TG,im,419318216,6,2,im_log_game_2
inner_band_8,1,01TG,im,419319170,6,2,im_log_game_2
outer_band_1,0,01TG,im,419320213,6,2,im_log_game_2
outer_band_2,0,01TG,im,419320213,6,2,im_log_game_2
outer_band_3,0,01TG,im,419320213,6,2,im_log_game_2
outer_band_4,0,01TG,im,419320213,6,2,im_log_game_2
inner_band_1,0,01TG,im,419325503,2,2,im_log_game_2
inner_band_2,1,01TG,im,419326563,2,2,im_log_game_2
inner_band_3,1,01TG,im,419327501,2,2,im_log_game_2
inner_band_4,1,01TG,im,419328562,2,2,im_log_game_2
inner_band_5,0,01TG,im,419329408,2,2,im_log_game_2
inner_band_6,0,01TG,im,419330564,2,2,im_log_game_2
inner_band_7,0,01TG,im,419331589,2,2,im_log_game_2
inner_band_8,1,01TG,im,419332567,2,2,im_log_game_2
outer_band_1,1,01TG,im,419333521,2,2,im_log_game_2
outer_band_2,1,01TG,im,419333521,2,2,im_log_game_2
outer_band_3,1,01TG,im,419333521,2,2,im_log_game_2
outer_band_4,0,01TG,im,419333521,2,2,im_log_game_2
inner_band_1,1,01TG,im,419341262,8,2,im_log_game_2
inner_band_2,1,01TG,im,419342298,8,2,im_log_game_2
inner_band_3,1,01TG,im,419343329,8,2,im_log_game_2
inner_band_4,1,01TG,im,419344266,8,2,im_log_game_2
inner_band_5,1,01TG,im,419345297,8,2,im_log_game_2
inner_band_6,1,01TG,im,419346336,8,2,im_log_game_2
inner_band_7,1,01TG,im,419347263,8,2,im_log_game_2
inner_band_8,1,01TG,im,419348315,8,2,im_log_game_2
outer_band_1,1,01TG,im,419349341,8,2,im_log_game_2
outer_band_2,1,01TG,im,419349341,8,2,im_log_game_2
outer_band_3,0,01TG,im,419349341,8,2,im_log_game_2
outer_band_4,0,01TG,im,419349341,8,2,im_log_game_2
inner_band_1,1,01TG,im,419355656,14,2,im_log_game_2
inner_band_2,1,01TG,im,419356687,14,2,im_log_game_2
inner_band_3,1,01TG,im,419357657,14,2,im_log_game_2
